President,Date,Approve
Obama,"Apr 16, 2012",48
Obama,"Apr 9, 2012",47
Obama,"Apr 2, 2012",47
Obama,"Mar 26, 2012",46
Obama,"Mar 19, 2012",46
Obama,"Mar 12, 2012",46
Obama,"Mar 5, 2012",48
Obama,"Feb 27, 2012",45
Obama,"Feb 20, 2012",45
Obama,"Feb 13, 2012",45
Obama,"Feb 6, 2012",47
Obama,"Jan 30, 2012",46
Obama,"Jan 23, 2012",45
Obama,"Jan 16, 2012",45
Obama,"Jan 9, 2012",45
Obama,"Jan 2, 2012",46
Obama,"Dec 26, 2011",42
Obama,"Dec 19, 2011",45
Obama,"Dec 12, 2011",42
Obama,"Dec 5, 2011",43
Obama,"Nov 28, 2011",42
Obama,"Nov 21, 2011",43
Obama,"Nov 14, 2011",43
Obama,"Nov 7, 2011",43
Obama,"Oct 31, 2011",43
Obama,"Oct 24, 2011",43
Obama,"Oct 17, 2011",41
Obama,"Oct 10, 2011",41
Obama,"Oct 3, 2011",40
Obama,"Sep 26, 2011",41
Obama,"Sep 19, 2011",41
Obama,"Sep 12, 2011",40
Obama,"Sep 5, 2011",43
Obama,"Aug 29, 2011",42
Obama,"Aug 22, 2011",40
Obama,"Aug 15, 2011",40
Obama,"Aug 8, 2011",40
Obama,"Aug 1, 2011",42
Obama,"Jul 25, 2011",42
Obama,"Jul 18, 2011",43
Obama,"Jul 11, 2011",44
Obama,"Jul 4, 2011",46
Obama,"Jun 27, 2011",46
Obama,"Jun 20, 2011",43
Obama,"Jun 13, 2011",47
Obama,"Jun 6, 2011",46
Obama,"May 30, 2011",50
Obama,"May 23, 2011",49
Obama,"May 16, 2011",50
Obama,"May 9, 2011",49
Obama,"May 2, 2011",51
Obama,"Apr 25, 2011",44
Obama,"Apr 18, 2011",43
Obama,"Apr 11, 2011",43
Obama,"Apr 4, 2011",45
Obama,"Mar 28, 2011",48
Obama,"Mar 21, 2011",45
Obama,"Mar 14, 2011",48
Obama,"Mar 7, 2011",47
Obama,"Feb 28, 2011",46
Obama,"Feb 21, 2011",48
Obama,"Feb 14, 2011",48
Obama,"Feb 7, 2011",48
Obama,"Jan 31, 2011",47
Obama,"Jan 24, 2011",50
Obama,"Jan 17, 2011",50
Obama,"Jan 10, 2011",49
Obama,"Jan 3, 2011",48
Obama,"Dec 27, 2010",48
Obama,"Dec 20, 2010",47
Obama,"Dec 13, 2010",46
Obama,"Dec 6, 2010",45
Obama,"Nov 29, 2010",46
Obama,"Nov 22, 2010",45
Obama,"Nov 15, 2010",46
Obama,"Nov 8, 2010",44
Obama,"Nov 1, 2010",45
Obama,"Oct 25, 2010",45
Obama,"Oct 18, 2010",44
Obama,"Oct 11, 2010",45
Obama,"Oct 4, 2010",46
Obama,"Sep 27, 2010",46
Obama,"Sep 20, 2010",44
Obama,"Sep 13, 2010",46
Obama,"Sep 6, 2010",46
Obama,"Aug 30, 2010",45
Obama,"Aug 23, 2010",43
Obama,"Aug 16, 2010",43
Obama,"Aug 9, 2010",44
Obama,"Aug 2, 2010",45
Obama,"Jul 26, 2010",45
Obama,"Jul 19, 2010",45
Obama,"Jul 12, 2010",46
Obama,"Jul 5, 2010",46
Obama,"Jun 28, 2010",46
Obama,"Jun 21, 2010",45
Obama,"Jun 14, 2010",47
Obama,"Jun 7, 2010",46
Obama,"May 31, 2010",47
Obama,"May 24, 2010",46
Obama,"May 17, 2010",48
Obama,"May 10, 2010",49
Obama,"May 3, 2010",50
Obama,"Apr 26, 2010",48
Obama,"Apr 19, 2010",50
Obama,"Apr 12, 2010",48
Obama,"Apr 5, 2010",47
Obama,"Mar 29, 2010",49
Obama,"Mar 22, 2010",49
Obama,"Mar 15, 2010",48
Obama,"Mar 8, 2010",48
Obama,"Mar 1, 2010",49
Obama,"Feb 22, 2010",50
Obama,"Feb 15, 2010",49
Obama,"Feb 8, 2010",51
Obama,"Feb 1, 2010",50
Obama,"Jan 25, 2010",48
Obama,"Jan 18, 2010",49
Obama,"Jan 11, 2010",50
Obama,"Jan 4, 2010",51
Obama,"Dec 28, 2009",51
Obama,"Dec 21, 2009",51
Obama,"Dec 14, 2009",50
Obama,"Dec 7, 2009",49
Obama,"Nov 30, 2009",50
Obama,"Nov 23, 2009",50
Obama,"Nov 16, 2009",49
Obama,"Nov 9, 2009",53
Obama,"Nov 2, 2009",52
Obama,"Oct 26, 2009",53
Obama,"Oct 19, 2009",53
Obama,"Oct 12, 2009",52
Obama,"Oct 5, 2009",54
Obama,"Sep 28, 2009",52
Obama,"Sep 21, 2009",51
Obama,"Sep 14, 2009",52
Obama,"Sep 7, 2009",52
Obama,"Aug 31, 2009",53
Obama,"Aug 24, 2009",50
Obama,"Aug 17, 2009",52
Obama,"Aug 10, 2009",54
Obama,"Aug 3, 2009",56
Obama,"Jul 27, 2009",54
Obama,"Jul 20, 2009",56
Obama,"Jul 13, 2009",59
Obama,"Jul 6, 2009",58
Obama,"Jun 29, 2009",60
Obama,"Jun 22, 2009",60
Obama,"Jun 15, 2009",59
Obama,"Jun 8, 2009",61
Obama,"Jun 1, 2009",62
Obama,"May 25, 2009",63
Obama,"May 18, 2009",64
Obama,"May 11, 2009",64
Obama,"May 4, 2009",66
Obama,"Apr 27, 2009",65
Obama,"Apr 20, 2009",65
Obama,"Apr 13, 2009",62
Obama,"Apr 6, 2009",61
Obama,"Mar 30, 2009",62
Obama,"Mar 23, 2009",61
Obama,"Mar 16, 2009",63
Obama,"Mar 9, 2009",62
Obama,"Mar 2, 2009",62
Obama,"Feb 23, 2009",64
Obama,"Feb 16, 2009",62
Obama,"Feb 9, 2009",64
Obama,"Feb 2, 2009",65
Obama,"Jan 26, 2009",66
Obama,"Jan 19, 2009",67
